epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6576,1.91631,6.13114,2.28793,0.00432,0.75521,0.30007,0.10632,1.92794,4.4937,2.54072,0.000408654,0.000408654,0.000408654
2,34.6074,1.70693,4.50396,1.95045,0.54059,0.45685,0.42738,0.1247,2.12121,3.70145,2.38296,0.00081715,0.00081715,0.00081715
3,50.2691,1.71443,3.71874,1.91091,0.59039,0.58052,0.65311,0.28727,1.77303,2.75072,2.1225,0.0012174,0.0012174,0.0012174
4,65.8936,1.65913,3.06613,1.88872,0.58835,0.63374,0.64215,0.23506,2.08933,2.18992,2.48759,0.00121287,0.00121287,0.00121287
5,81.4103,1.66854,2.69229,1.88759,0.57064,0.62745,0.62236,0.28516,1.93725,1.66026,2.15377,0.0012005,0.0012005,0.0012005
6,96.9484,1.67073,2.08694,1.84212,0.73978,0.63634,0.70132,0.32108,1.86488,1.51176,2.09945,0.00118812,0.00118812,0.00118812
7,112.588,1.60343,1.90878,1.84358,0.66913,0.71908,0.70013,0.29262,1.98319,1.5078,2.18471,0.00117575,0.00117575,0.00117575
8,128.152,1.54748,1.67306,1.77925,0.58193,0.70139,0.67207,0.28066,2.01212,1.32884,2.17934,0.00116337,0.00116337,0.00116337
9,143.677,1.58268,1.60918,1.78346,0.60912,0.62335,0.64726,0.26023,2.01723,1.35625,2.19473,0.001151,0.001151,0.001151
10,159.35,1.52623,1.45969,1.7419,0.73267,0.70738,0.70301,0.32986,2.02422,1.09838,2.18334,0.00113863,0.00113863,0.00113863
11,175.015,1.48967,1.34148,1.70648,0.61924,0.50154,0.51536,0.1726,2.63523,1.57171,2.88579,0.00112625,0.00112625,0.00112625
12,190.539,1.50625,1.26919,1.70007,0.72477,0.60666,0.7134,0.32385,1.78235,1.3968,1.8314,0.00111388,0.00111388,0.00111388
13,206.252,1.49921,1.26315,1.70226,0.68149,0.74306,0.76182,0.31032,1.97315,1.19754,2.13057,0.0011015,0.0011015,0.0011015
14,221.864,1.4958,1.23825,1.71314,0.70761,0.77435,0.82524,0.4146,1.67836,0.92246,1.79485,0.00108913,0.00108913,0.00108913
15,237.412,1.47805,1.16298,1.71602,0.87608,0.44309,0.68587,0.33106,1.76166,1.63574,1.85206,0.00107675,0.00107675,0.00107675
16,253.137,1.45426,1.09288,1.67859,0.73487,0.74652,0.75725,0.41832,1.69939,0.91439,1.83002,0.00106437,0.00106437,0.00106437
17,269.259,1.41978,1.02019,1.62548,0.80566,0.62636,0.75003,0.33396,2.10333,0.93171,2.25015,0.001052,0.001052,0.001052
18,285.354,1.43776,1.07484,1.66174,0.72816,0.86325,0.85568,0.33803,2.04274,0.981,2.17345,0.00103962,0.00103962,0.00103962
19,301.442,1.4284,1.0178,1.63317,0.63464,0.79743,0.79117,0.47639,1.46367,0.85145,1.70339,0.00102725,0.00102725,0.00102725
20,317.487,1.39496,1.00534,1.61927,0.80875,0.69873,0.77836,0.37641,1.81158,0.9869,1.92653,0.00101488,0.00101488,0.00101488
21,333.591,1.43678,0.9906,1.64115,0.78941,0.79687,0.7941,0.34125,1.98777,0.96093,2.06452,0.0010025,0.0010025,0.0010025
22,349.699,1.38782,0.94422,1.60155,0.72239,0.91218,0.84515,0.4533,1.55469,0.75306,1.67749,0.000990125,0.000990125,0.000990125
23,365.978,1.40128,0.95723,1.61506,0.60208,0.72488,0.68966,0.21797,2.56704,1.10242,2.779,0.00097775,0.00097775,0.00097775
24,382.093,1.39762,0.97087,1.63784,0.83642,0.7513,0.82844,0.40429,1.78873,0.91272,1.96962,0.000965375,0.000965375,0.000965375
25,398.088,1.40386,0.93834,1.64065,0.87698,0.85408,0.8931,0.39164,1.80028,0.88557,1.95819,0.000953,0.000953,0.000953
26,414.284,1.41034,0.92106,1.62561,0.76535,0.80691,0.80936,0.43268,1.62145,0.8005,1.76857,0.000940625,0.000940625,0.000940625
27,430.373,1.3651,0.92246,1.59043,0.85255,0.77108,0.85282,0.40275,1.77194,0.80871,1.87039,0.00092825,0.00092825,0.00092825
28,446.502,1.34178,0.93119,1.59931,0.79083,0.79984,0.84243,0.51263,1.44052,0.71247,1.66386,0.000915875,0.000915875,0.000915875
29,462.537,1.37906,0.92153,1.61391,0.86546,0.87446,0.87717,0.50196,1.49368,0.73785,1.66266,0.0009035,0.0009035,0.0009035
30,478.663,1.36712,0.85384,1.58694,0.82198,0.83333,0.82812,0.44992,1.59235,0.72326,1.71748,0.000891125,0.000891125,0.000891125
31,494.843,1.32394,0.85056,1.57005,0.90634,0.83168,0.86195,0.38385,1.96196,0.75918,2.07081,0.00087875,0.00087875,0.00087875
32,510.827,1.31674,0.84604,1.57992,0.8594,0.74155,0.84333,0.51774,1.30452,0.67909,1.51329,0.000866375,0.000866375,0.000866375
33,526.94,1.32492,0.85273,1.56799,0.78299,0.77239,0.77056,0.27695,2.34268,0.85941,2.45522,0.000854,0.000854,0.000854
34,543.151,1.34501,0.84557,1.58112,0.82847,0.8612,0.82882,0.40786,1.78836,0.70381,1.87542,0.000841625,0.000841625,0.000841625
35,559.036,1.28385,0.80463,1.52769,0.86566,0.90633,0.88647,0.50404,1.4287,0.63239,1.60401,0.00082925,0.00082925,0.00082925
36,575.619,1.28282,0.82801,1.51331,0.85318,0.8244,0.86321,0.43769,1.76234,0.71187,1.86834,0.000816875,0.000816875,0.000816875
37,592.613,1.27126,0.8208,1.527,0.85948,0.79668,0.87226,0.42881,1.69827,0.68049,1.82413,0.0008045,0.0008045,0.0008045
38,609.745,1.2797,0.8124,1.54062,0.88319,0.80535,0.84465,0.34566,2.08005,0.83335,2.09193,0.000792125,0.000792125,0.000792125
39,626.044,1.27584,0.81739,1.53374,0.849,0.83066,0.84915,0.42997,1.71071,0.71946,1.84747,0.00077975,0.00077975,0.00077975
40,643.838,1.27761,0.7896,1.53165,0.80122,0.7981,0.78403,0.32194,2.18958,0.75113,2.29584,0.000767375,0.000767375,0.000767375
41,660.212,1.29344,0.77923,1.51331,0.80364,0.83333,0.83531,0.47998,1.54246,0.62823,1.68102,0.000755,0.000755,0.000755
42,676.278,1.28494,0.78228,1.55051,0.84157,0.85247,0.87204,0.50504,1.56154,0.61995,1.70509,0.000742625,0.000742625,0.000742625
43,692.788,1.23438,0.76534,1.49259,0.80724,0.82419,0.83602,0.50527,1.33435,0.65285,1.5623,0.00073025,0.00073025,0.00073025
44,709.931,1.2927,0.76488,1.50385,0.81809,0.8646,0.83623,0.48946,1.41849,0.62444,1.62745,0.000717875,0.000717875,0.000717875
45,726.297,1.24815,0.77657,1.49996,0.85835,0.82591,0.80273,0.48001,1.42938,0.63632,1.61859,0.0007055,0.0007055,0.0007055
46,742.803,1.26916,0.76209,1.51534,0.79327,0.84393,0.86412,0.4977,1.47378,0.64327,1.61581,0.000693125,0.000693125,0.000693125
47,759.243,1.22302,0.71073,1.48234,0.92328,0.87004,0.8651,0.40918,1.84747,0.68316,1.94006,0.00068075,0.00068075,0.00068075
48,775.419,1.24833,0.74944,1.50526,0.80602,0.81771,0.80451,0.37702,1.98948,0.70466,2.0609,0.000668375,0.000668375,0.000668375
49,791.867,1.2283,0.74841,1.4855,0.82226,0.85417,0.8403,0.46777,1.59352,0.66498,1.68005,0.000656,0.000656,0.000656
50,809.664,1.23747,0.7489,1.48691,0.85643,0.91667,0.87326,0.44681,1.73771,0.61562,1.82313,0.000643625,0.000643625,0.000643625
51,826.097,1.24024,0.73862,1.48916,0.92756,0.90978,0.91887,0.50832,1.48748,0.63204,1.62754,0.00063125,0.00063125,0.00063125
52,842.746,1.22347,0.76286,1.48306,0.83028,0.92242,0.88677,0.45702,1.69514,0.66443,1.78183,0.000618875,0.000618875,0.000618875
53,859.044,1.20832,0.70863,1.45391,0.8757,0.87069,0.8897,0.4655,1.63599,0.59239,1.78141,0.0006065,0.0006065,0.0006065
54,875.62,1.23841,0.72383,1.48648,0.8426,0.86897,0.85409,0.38585,1.98424,0.70321,2.09593,0.000594125,0.000594125,0.000594125
55,892.219,1.2029,0.71539,1.44838,0.93583,0.91259,0.91161,0.49302,1.50455,0.58508,1.67784,0.00058175,0.00058175,0.00058175
56,908.955,1.17175,0.68112,1.43212,0.92455,0.91492,0.90738,0.51624,1.4485,0.59443,1.59627,0.000569375,0.000569375,0.000569375
57,925.235,1.18977,0.6828,1.47007,0.8259,0.86842,0.844,0.40659,1.8452,0.69412,1.9257,0.000557,0.000557,0.000557
58,941.237,1.17817,0.67554,1.44169,0.80921,0.875,0.85824,0.42954,1.87727,0.67264,1.96372,0.000544625,0.000544625,0.000544625
59,957.138,1.16759,0.65404,1.42485,0.91226,0.92058,0.90523,0.41462,1.83776,0.65414,1.98349,0.00053225,0.00053225,0.00053225
60,973.056,1.16942,0.67685,1.40146,0.8303,0.85417,0.84451,0.51556,1.40456,0.5552,1.60056,0.000519875,0.000519875,0.000519875
61,989.105,1.16185,0.66399,1.43361,0.92661,0.8724,0.88545,0.56229,1.35144,0.59055,1.50363,0.0005075,0.0005075,0.0005075
62,1005.12,1.14187,0.66085,1.42301,0.88741,0.875,0.88983,0.55462,1.32981,0.5468,1.51208,0.000495125,0.000495125,0.000495125
